building_location,building_price_hkd_mean
Festival City,1068.5475330926595
The Cairnhill,1064.5054945054944
Caldecott Hill,1064.3125
Lions Rise,1064.2372093023255
No.1 Star Street,1063.9130434782608
Parc Royale,1058.7560975609756
Hong Lok Yuen,1054.3
Beverley Heights,1054.0701754385964
The Zenith,1049.7115384615386
Green Lodge,1043.3636363636363
Majestic Park,1037.6666666666667
Shining Heights,1036.031746031746
One Pacific Heights,1027.8478260869565
New Town Plaza,1027.0266666666666
Fortress Garden,1022.3162393162393
High West,1015.9444444444445
Grand Seaview Heights,1006.0
Tanner Garden,1004.2048192771084
Harmony Place,1003.44
Parc Versailles,1000.5368421052632
Yee On Building,998.8421052631579
Vision City,994.4790697674418
South Horizons,989.9504132231405
18 Farm Road,989.2424242424242
Savanna Garden,980.2222222222222
Villa Oceania,976.8765432098766
The Visionary,973.5577889447236
J Residence,969.9764705882353
Victoria Centre,960.0444444444445
Lake Silver,946.7443037974683
The Merton,945.9663865546219
The Cliveden,945.875
Greenwood Villas,943.4285714285714
Villa Athena,934.3461538461538
Chatham Gate,930.6619718309859
City Point,912.9742647058823
60 Victoria Road,908.1666666666666
Baycrest,907.9014084507043
Avignon,907.3303571428571
Island Resort,905.3623978201634
Park Vale,903.7777777777778
Lei King Wan,901.6015325670498
Ocean One,901.4
No.8 Clear Water Bay Road,894.448275862069
Park Horizon,888.25
Splendid Place,887.1428571428571
18 Upper East,879.8571428571429
Tierra Verde,878.3162162162162
University Heights,871.4375
Warrenwoods,868.6818181818181
Woodland Crest,868.4912280701755
Oceanaire,866.75
Academic Terrace,866.5
Villa Esplanada,863.8538681948424
Villa Castell,852.6666666666666
Fairview Height,851.3529411764706
Kornhill,850.13112164297
Nelson Court,849.25
Mayson Garden Building,848.4117647058823
Whampoa Garden,837.9251282051282
The Spectacle,836.972972972973
Sham Wan Towers,834.5375722543353
Elizabeth House,833.4561403508771
Kingston Lodge,830.4285714285714
Pokfulam Gardens,829.4770642201835
Heng Fa Chuen,826.8432343234324
The Aegean,826.8181818181819
Reading Place,825.7037037037037
Sausalito,825.5765306122449
Galaxia,823.1739130434783
Wonderland Villas,821.5786516853933
Discovery Bay,821.3367412140575
Lohas Park,821.0984134558034
The Sparkle,817.8854166666666
Residence Oasis,816.956228956229
Vista Paradiso,815.5429864253393
Cayman Rise,815.0980392156863
Garden Vista,812.195652173913
Harbour Place,811.9754464285714
Lime Habitat,803.7368421052631
Castello,803.1157894736842
Carmel On The Hill,798.9444444444445
Metro Town,797.0743034055728
Pictorial Garden,796.8577235772358
Pokfulam Terrace,795.45
Granville Garden,794.96
Golf Parkview,793.6
Ivy On Belcher's,793.1538461538462
Queen's Terrace,792.0509554140127
Century Gateway,791.3849462365591
The Met. Sublime,790.7333333333333
Aquamarine,790.7138047138047
Grand Villa,790.6428571428571
Mei Foo Sun Chuen,788.9240025332489
Kiu Hing Mansion,788.4473684210526
The Hillgrove,787.530612244898
Grand Palisades,787.2474226804123
Viking Garden,786.1818181818181
The Morrison,785.4137931034483
Elite Court,784.6363636363636
The Metropolis Residence,782.4299065420561
Greenfield Court,779.7142857142857
Chee On Building,778.2631578947369
Kornville,773.9230769230769
Palatial Coast,773.6504854368932
Mount Parker Lodge,772.6494845360825
Kwong Fung Terrace,772.3181818181819
University Court,771.5
Ocean Pointe,770.6119402985074
Royal Terrace,770.0689655172414
Southorn Garden,768.5769230769231
I-Uniq Grand,768.2307692307693
Bellagio,767.4666666666667
Ocean Shores,765.1725601131542
Monte Vista,763.7941176470588
Jadewater,762.3863636363636
Bo Fung Gardens,761.1071428571429
Sceneway Garden,761.0558510638298
The Bonham Mansion,758.2777777777778
Banyan Garden,758.0780856423174
Newman House,753.5454545454545
Liberte,749.5425219941349
8 Waterloo Road,749.3888888888889
The Pacifica,739.8391420911528
26 Kimberley Road,739.6341463414634
Sky Tower,738.9059233449477
